nohup: ignoring input
Start loading file addresses ...
done! time: 0.9692201614379883
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9842691421508789
Number of images found: 289508
out/inverse_mask_complete/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1520, time=2.094, generator: 0.6868, discriminator: 1.1703, regularizer: 0.0759
[(levelname)s] [Epoch 01] it=1530, time=2.077, generator: 0.7209, discriminator: 1.1766, regularizer: 0.0723
[(levelname)s] [Epoch 01] it=1540, time=2.077, generator: 0.6010, discriminator: 1.1640, regularizer: 0.0832
[(levelname)s] [Epoch 01] it=1550, time=2.088, generator: 0.6425, discriminator: 1.1836, regularizer: 0.0752
[(levelname)s] [Epoch 01] it=1560, time=2.079, generator: 0.6727, discriminator: 1.1807, regularizer: 0.0695
[(levelname)s] [Epoch 01] it=1570, time=2.076, generator: 0.6029, discriminator: 1.2083, regularizer: 0.0747
[(levelname)s] [Epoch 01] it=1580, time=2.073, generator: 0.6506, discriminator: 1.1822, regularizer: 0.0820
[(levelname)s] [Epoch 01] it=1590, time=2.088, generator: 0.6996, discriminator: 1.1723, regularizer: 0.0731
[(levelname)s] [Epoch 01] it=1600, time=2.109, generator: 0.7375, discriminator: 1.1504, regularizer: 0.0728
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=1610, time=2.191, generator: 0.6450, discriminator: 1.2101, regularizer: 0.0784
[(levelname)s] [Epoch 01] it=1620, time=2.083, generator: 0.6729, discriminator: 1.2155, regularizer: 0.0718
[(levelname)s] [Epoch 01] it=1630, time=2.078, generator: 0.6447, discriminator: 1.1926, regularizer: 0.0704
[(levelname)s] [Epoch 01] it=1640, time=2.092, generator: 0.6958, discriminator: 1.1840, regularizer: 0.0743
[(levelname)s] [Epoch 01] it=1650, time=2.084, generator: 0.6321, discriminator: 1.1978, regularizer: 0.0745
[(levelname)s] [Epoch 01] it=1660, time=2.072, generator: 0.6961, discriminator: 1.1895, regularizer: 0.0747
[(levelname)s] [Epoch 01] it=1670, time=2.092, generator: 0.6998, discriminator: 1.2078, regularizer: 0.0674
[(levelname)s] [Epoch 01] it=1680, time=2.089, generator: 0.6334, discriminator: 1.1701, regularizer: 0.0781
[(levelname)s] [Epoch 01] it=1690, time=2.088, generator: 0.7085, discriminator: 1.1879, regularizer: 0.0699
[(levelname)s] [Epoch 01] it=1700, time=2.078, generator: 0.6469, discriminator: 1.1658, regularizer: 0.0802
[(levelname)s] [Epoch 01] it=1710, time=2.078, generator: 0.6162, discriminator: 1.1884, regularizer: 0.0778
[(levelname)s] [Epoch 01] it=1720, time=2.088, generator: 0.7259, discriminator: 1.1579, regularizer: 0.0737
[(levelname)s] [Epoch 01] it=1730, time=2.075, generator: 0.7652, discriminator: 1.2029, regularizer: 0.0823
[(levelname)s] [Epoch 01] it=1740, time=2.087, generator: 0.6691, discriminator: 1.1913, regularizer: 0.0780
[(levelname)s] [Epoch 01] it=1750, time=2.094, generator: 0.6634, discriminator: 1.1716, regularizer: 0.0777
[(levelname)s] [Epoch 01] it=1760, time=2.088, generator: 0.8212, discriminator: 1.2548, regularizer: 0.0796
[(levelname)s] [Epoch 01] it=1770, time=2.094, generator: 0.6613, discriminator: 1.1745, regularizer: 0.0789
