nohup: ignoring input
Start loading file addresses ...
done! time: 0.9888582229614258
Number of images found: 289508
Start loading file addresses ...
done! time: 1.103104591369629
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=520, time=2.283, generator: 0.7994, discriminator: 1.1591, regularizer: 0.0737
[(levelname)s] [Epoch 00] it=530, time=2.311, generator: 0.7563, discriminator: 1.2288, regularizer: 0.0761
[(levelname)s] [Epoch 00] it=540, time=2.281, generator: 0.8147, discriminator: 1.2097, regularizer: 0.0789
[(levelname)s] [Epoch 00] it=550, time=2.357, generator: 0.6366, discriminator: 1.2037, regularizer: 0.0871
[(levelname)s] [Epoch 00] it=560, time=2.295, generator: 0.6909, discriminator: 1.1848, regularizer: 0.0770
[(levelname)s] [Epoch 00] it=570, time=2.327, generator: 0.6655, discriminator: 1.1855, regularizer: 0.0797
[(levelname)s] [Epoch 00] it=580, time=2.320, generator: 0.5295, discriminator: 1.2359, regularizer: 0.0745
[(levelname)s] [Epoch 00] it=590, time=2.297, generator: 0.6648, discriminator: 1.1748, regularizer: 0.0740
[(levelname)s] [Epoch 00] it=600, time=2.338, generator: 0.6079, discriminator: 1.1751, regularizer: 0.0814
[(levelname)s] Visualizing
[(levelname)s] [Epoch 00] it=610, time=2.542, generator: 0.6848, discriminator: 1.1696, regularizer: 0.0813
[(levelname)s] [Epoch 00] it=620, time=2.369, generator: 0.6863, discriminator: 1.1769, regularizer: 0.0713
[(levelname)s] [Epoch 00] it=630, time=2.304, generator: 0.6796, discriminator: 1.2326, regularizer: 0.0737
[(levelname)s] [Epoch 00] it=640, time=2.320, generator: 0.6085, discriminator: 1.1886, regularizer: 0.0783
[(levelname)s] [Epoch 00] it=650, time=2.306, generator: 0.6071, discriminator: 1.2007, regularizer: 0.0694
[(levelname)s] [Epoch 00] it=660, time=2.296, generator: 0.8224, discriminator: 1.2274, regularizer: 0.0752
[(levelname)s] [Epoch 00] it=670, time=2.305, generator: 0.6344, discriminator: 1.2043, regularizer: 0.0737
[(levelname)s] [Epoch 00] it=680, time=2.342, generator: 0.6661, discriminator: 1.1744, regularizer: 0.0760
[(levelname)s] [Epoch 00] it=690, time=2.401, generator: 0.8400, discriminator: 1.2607, regularizer: 0.0667
[(levelname)s] [Epoch 00] it=700, time=2.362, generator: 0.6971, discriminator: 1.2058, regularizer: 0.0708
[(levelname)s] [Epoch 00] it=710, time=2.316, generator: 0.7302, discriminator: 1.1843, regularizer: 0.0732
[(levelname)s] [Epoch 00] it=720, time=2.289, generator: 0.6806, discriminator: 1.1647, regularizer: 0.0753
[(levelname)s] [Epoch 00] it=730, time=2.363, generator: 0.7822, discriminator: 1.1938, regularizer: 0.0658
[(levelname)s] [Epoch 00] it=740, time=2.331, generator: 0.7529, discriminator: 1.1694, regularizer: 0.0852
[(levelname)s] [Epoch 00] it=750, time=2.294, generator: 0.7254, discriminator: 1.1805, regularizer: 0.0815
[(levelname)s] [Epoch 00] it=760, time=2.355, generator: 0.7853, discriminator: 1.1926, regularizer: 0.0714
[(levelname)s] [Epoch 00] it=770, time=2.351, generator: 0.6818, discriminator: 1.2204, regularizer: 0.0690
[(levelname)s] [Epoch 00] it=780, time=2.326, generator: 0.6270, discriminator: 1.2256, regularizer: 0.0779
[(levelname)s] [Epoch 00] it=790, time=2.363, generator: 0.6732, discriminator: 1.1827, regularizer: 0.0787
[(levelname)s] [Epoch 00] it=800, time=2.364, generator: 0.7713, discriminator: 1.1812, regularizer: 0.0722
[(levelname)s] Visualizing
[(levelname)s] [Epoch 00] it=810, time=2.568, generator: 0.6961, discriminator: 1.1798, regularizer: 0.0795
[(levelname)s] [Epoch 00] it=820, time=2.443, generator: 0.6687, discriminator: 1.1900, regularizer: 0.0757
[(levelname)s] [Epoch 00] it=830, time=2.323, generator: 0.6875, discriminator: 1.1375, regularizer: 0.0758
[(levelname)s] [Epoch 00] it=840, time=2.304, generator: 0.7178, discriminator: 1.1758, regularizer: 0.0804
[(levelname)s] [Epoch 00] it=850, time=2.343, generator: 0.7348, discriminator: 1.1820, regularizer: 0.0794
[(levelname)s] [Epoch 00] it=860, time=2.353, generator: 0.8535, discriminator: 1.2430, regularizer: 0.0726
[(levelname)s] [Epoch 00] it=870, time=2.379, generator: 0.6231, discriminator: 1.1740, regularizer: 0.0834
[(levelname)s] [Epoch 00] it=880, time=2.375, generator: 0.6850, discriminator: 1.1612, regularizer: 0.0824
[(levelname)s] [Epoch 00] it=890, time=2.383, generator: 0.7288, discriminator: 1.1601, regularizer: 0.0830
[(levelname)s] [Epoch 00] it=900, time=2.397, generator: 0.7092, discriminator: 1.1512, regularizer: 0.0813
[(levelname)s] [Epoch 00] it=910, time=2.337, generator: 0.7064, discriminator: 1.1754, regularizer: 0.0833
[(levelname)s] [Epoch 00] it=920, time=2.314, generator: 0.6236, discriminator: 1.1812, regularizer: 0.0862
[(levelname)s] [Epoch 00] it=930, time=2.355, generator: 0.7591, discriminator: 1.1637, regularizer: 0.0802
[(levelname)s] [Epoch 00] it=940, time=2.306, generator: 0.8510, discriminator: 1.2110, regularizer: 0.0795
[(levelname)s] [Epoch 00] it=950, time=2.341, generator: 0.7711, discriminator: 1.1910, regularizer: 0.0754
[(levelname)s] [Epoch 00] it=960, time=2.312, generator: 0.6551, discriminator: 1.1682, regularizer: 0.0818
[(levelname)s] [Epoch 00] it=970, time=2.335, generator: 0.7545, discriminator: 1.1788, regularizer: 0.0755
[(levelname)s] [Epoch 00] it=980, time=2.286, generator: 0.7689, discriminator: 1.1569, regularizer: 0.0817
[(levelname)s] [Epoch 00] it=990, time=2.326, generator: 0.5814, discriminator: 1.1404, regularizer: 0.0939
[(levelname)s] [Epoch 00] it=1000, time=2.332, generator: 0.6246, discriminator: 1.1699, regularizer: 0.0864
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 00] it=1010, time=2.551, generator: 0.6441, discriminator: 1.1512, regularizer: 0.0853
[(levelname)s] [Epoch 00] it=1020, time=2.335, generator: 0.6556, discriminator: 1.1466, regularizer: 0.0790
[(levelname)s] [Epoch 00] it=1030, time=2.322, generator: 0.7336, discriminator: 1.1958, regularizer: 0.0892
[(levelname)s] [Epoch 00] it=1040, time=2.311, generator: 0.7752, discriminator: 1.1585, regularizer: 0.0870
[(levelname)s] [Epoch 00] it=1050, time=2.353, generator: 0.7576, discriminator: 1.1806, regularizer: 0.0701
[(levelname)s] [Epoch 00] it=1060, time=2.315, generator: 0.5976, discriminator: 1.2043, regularizer: 0.0766
[(levelname)s] [Epoch 00] it=1070, time=2.352, generator: 0.6288, discriminator: 1.1441, regularizer: 0.0823
[(levelname)s] [Epoch 00] it=1080, time=2.352, generator: 0.7300, discriminator: 1.1619, regularizer: 0.0787
[(levelname)s] [Epoch 00] it=1090, time=2.362, generator: 0.6647, discriminator: 1.1787, regularizer: 0.0832
[(levelname)s] [Epoch 00] it=1100, time=2.326, generator: 0.7319, discriminator: 1.1666, regularizer: 0.0782
[(levelname)s] [Epoch 00] it=1110, time=2.394, generator: 0.7393, discriminator: 1.2038, regularizer: 0.0814
