nohup: ignoring input
Start loading file addresses ...
done! time: 0.9670593738555908
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9920361042022705
Number of images found: 289508
out/sigma_abs/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=530, time=2.291, generator: 0.6687, discriminator: 1.1848, regularizer: 0.0757
[(levelname)s] [Epoch 01] it=540, time=2.284, generator: 0.7278, discriminator: 1.1818, regularizer: 0.0703
[(levelname)s] [Epoch 01] it=550, time=2.318, generator: 0.5271, discriminator: 1.2900, regularizer: 0.0820
[(levelname)s] [Epoch 01] it=560, time=2.326, generator: 0.7800, discriminator: 1.1870, regularizer: 0.0774
[(levelname)s] [Epoch 01] it=570, time=2.300, generator: 0.6920, discriminator: 1.1684, regularizer: 0.0698
[(levelname)s] [Epoch 01] it=580, time=2.323, generator: 0.7953, discriminator: 1.2055, regularizer: 0.0767
[(levelname)s] [Epoch 01] it=590, time=2.281, generator: 0.6741, discriminator: 1.2049, regularizer: 0.0716
[(levelname)s] [Epoch 01] it=600, time=2.291, generator: 0.6541, discriminator: 1.1974, regularizer: 0.0808
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=610, time=2.437, generator: 0.7284, discriminator: 1.2039, regularizer: 0.0764
[(levelname)s] [Epoch 01] it=620, time=2.293, generator: 0.6526, discriminator: 1.1970, regularizer: 0.0796
[(levelname)s] [Epoch 01] it=630, time=2.301, generator: 0.8454, discriminator: 1.2779, regularizer: 0.0702
[(levelname)s] [Epoch 01] it=640, time=2.285, generator: 0.6505, discriminator: 1.1990, regularizer: 0.0721
[(levelname)s] [Epoch 01] it=650, time=2.251, generator: 0.8120, discriminator: 1.2419, regularizer: 0.0762
[(levelname)s] [Epoch 01] it=660, time=2.276, generator: 0.8968, discriminator: 1.1748, regularizer: 0.0701
[(levelname)s] [Epoch 01] it=670, time=2.274, generator: 0.6948, discriminator: 1.1714, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=680, time=2.286, generator: 0.7690, discriminator: 1.1783, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=690, time=2.301, generator: 0.7184, discriminator: 1.2018, regularizer: 0.0713
[(levelname)s] [Epoch 01] it=700, time=2.303, generator: 0.6796, discriminator: 1.1958, regularizer: 0.0736
[(levelname)s] [Epoch 01] it=710, time=2.291, generator: 0.8627, discriminator: 1.2039, regularizer: 0.0725
[(levelname)s] [Epoch 01] it=720, time=2.305, generator: 0.6324, discriminator: 1.2032, regularizer: 0.0741
[(levelname)s] [Epoch 01] it=730, time=2.305, generator: 0.8162, discriminator: 1.2540, regularizer: 0.0723
[(levelname)s] [Epoch 01] it=740, time=2.304, generator: 0.7441, discriminator: 1.2153, regularizer: 0.0698
[(levelname)s] [Epoch 01] it=750, time=2.320, generator: 0.7548, discriminator: 1.2111, regularizer: 0.0598
[(levelname)s] [Epoch 01] it=760, time=2.292, generator: 0.7321, discriminator: 1.2017, regularizer: 0.0664
[(levelname)s] [Epoch 01] it=770, time=2.268, generator: 0.6232, discriminator: 1.1888, regularizer: 0.0692
[(levelname)s] [Epoch 01] it=780, time=2.284, generator: 0.7291, discriminator: 1.2132, regularizer: 0.0769
[(levelname)s] [Epoch 01] it=790, time=2.297, generator: 0.6766, discriminator: 1.1793, regularizer: 0.0790
[(levelname)s] [Epoch 01] it=800, time=2.295, generator: 0.7520, discriminator: 1.1735, regularizer: 0.0712
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=810, time=2.478, generator: 0.6289, discriminator: 1.2034, regularizer: 0.0647
[(levelname)s] [Epoch 01] it=820, time=2.266, generator: 0.6849, discriminator: 1.2155, regularizer: 0.0698
[(levelname)s] [Epoch 01] it=830, time=2.288, generator: 0.7677, discriminator: 1.1880, regularizer: 0.0698
[(levelname)s] [Epoch 01] it=840, time=2.275, generator: 0.7861, discriminator: 1.2330, regularizer: 0.0691
[(levelname)s] [Epoch 01] it=850, time=2.274, generator: 0.5690, discriminator: 1.1976, regularizer: 0.0706
[(levelname)s] [Epoch 01] it=860, time=2.276, generator: 0.6730, discriminator: 1.1955, regularizer: 0.0663
[(levelname)s] [Epoch 01] it=870, time=2.281, generator: 0.6438, discriminator: 1.1903, regularizer: 0.0696
[(levelname)s] [Epoch 01] it=880, time=2.270, generator: 0.7962, discriminator: 1.2494, regularizer: 0.0685
[(levelname)s] [Epoch 01] it=890, time=2.293, generator: 0.7399, discriminator: 1.2270, regularizer: 0.0616
