nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=380, time=7.042, generator: 0.6792, generator_static: 0.6809, discriminator: 1.2335, regularizer: 0.0475, pose_estimator: 0.1771
[(levelname)s] [Epoch 00] it=390, time=7.105, generator: 0.7166, generator_static: 0.6940, discriminator: 1.2674, regularizer: 0.0507, pose_estimator: 0.1756
[(levelname)s] [Epoch 00] it=400, time=7.196, generator: 0.7132, generator_static: 0.7068, discriminator: 1.2571, regularizer: 0.0444, pose_estimator: 0.1735
[(levelname)s] [Epoch 00] it=410, time=7.094, generator: 0.6891, generator_static: 0.6862, discriminator: 1.2687, regularizer: 0.0465, pose_estimator: 0.1742
[(levelname)s] [Epoch 00] it=420, time=7.126, generator: 0.7097, generator_static: 0.6894, discriminator: 1.2629, regularizer: 0.0516, pose_estimator: 0.1709
[(levelname)s] [Epoch 00] it=430, time=7.136, generator: 0.6869, generator_static: 0.6728, discriminator: 1.2581, regularizer: 0.0495, pose_estimator: 0.1704
[(levelname)s] [Epoch 00] it=440, time=7.163, generator: 0.6387, generator_static: 0.6162, discriminator: 1.2747, regularizer: 0.0465, pose_estimator: 0.1710
[(levelname)s] [Epoch 00] it=450, time=7.092, generator: 0.6588, generator_static: 0.6429, discriminator: 1.2755, regularizer: 0.0483, pose_estimator: 0.1685
[(levelname)s] [Epoch 00] it=460, time=7.054, generator: 0.8945, generator_static: 0.8272, discriminator: 1.3500, regularizer: 0.0461, pose_estimator: 0.1683
[(levelname)s] [Epoch 00] it=470, time=7.148, generator: 0.7048, generator_static: 0.6782, discriminator: 1.2628, regularizer: 0.0488, pose_estimator: 0.1664
[(levelname)s] [Epoch 00] it=480, time=7.198, generator: 0.7039, generator_static: 0.6957, discriminator: 1.2513, regularizer: 0.0522, pose_estimator: 0.1642
[(levelname)s] [Epoch 00] it=490, time=7.107, generator: 0.7314, generator_static: 0.7185, discriminator: 1.2702, regularizer: 0.0440, pose_estimator: 0.1662
[(levelname)s] [Epoch 00] it=500, time=7.097, generator: 0.6783, generator_static: 0.6630, discriminator: 1.2795, regularizer: 0.0489, pose_estimator: 0.1656
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 00] it=510, time=7.289, generator: 0.7315, generator_static: 0.6809, discriminator: 1.2820, regularizer: 0.0480, pose_estimator: 0.1617
[(levelname)s] [Epoch 00] it=520, time=7.101, generator: 0.8066, generator_static: 0.7547, discriminator: 1.3150, regularizer: 0.0436, pose_estimator: 0.1623
[(levelname)s] [Epoch 00] it=530, time=7.116, generator: 0.6661, generator_static: 0.6580, discriminator: 1.2875, regularizer: 0.0432, pose_estimator: 0.1587
[(levelname)s] [Epoch 00] it=540, time=7.178, generator: 0.8483, generator_static: 0.8033, discriminator: 1.3412, regularizer: 0.0421, pose_estimator: 0.1591
[(levelname)s] [Epoch 00] it=550, time=7.099, generator: 0.7220, generator_static: 0.6391, discriminator: 1.2892, regularizer: 0.0433, pose_estimator: 0.1576
[(levelname)s] [Epoch 00] it=560, time=7.149, generator: 0.6962, generator_static: 0.6738, discriminator: 1.2848, regularizer: 0.0472, pose_estimator: 0.1565
[(levelname)s] [Epoch 00] it=570, time=7.147, generator: 0.7310, generator_static: 0.6904, discriminator: 1.3019, regularizer: 0.0517, pose_estimator: 0.1557
[(levelname)s] [Epoch 00] it=580, time=7.112, generator: 0.7142, generator_static: 0.6885, discriminator: 1.2970, regularizer: 0.0344, pose_estimator: 0.1536
[(levelname)s] [Epoch 00] it=590, time=7.174, generator: 0.7524, generator_static: 0.7482, discriminator: 1.2807, regularizer: 0.0438, pose_estimator: 0.1519
[(levelname)s] [Epoch 00] it=600, time=7.115, generator: 0.7506, generator_static: 0.7116, discriminator: 1.2961, regularizer: 0.0435, pose_estimator: 0.1530
[(levelname)s] [Epoch 00] it=610, time=7.214, generator: 0.6404, generator_static: 0.6558, discriminator: 1.3032, regularizer: 0.0389, pose_estimator: 0.1506
[(levelname)s] [Epoch 00] it=620, time=7.133, generator: 0.6854, generator_static: 0.6738, discriminator: 1.2793, regularizer: 0.0382, pose_estimator: 0.1494
[(levelname)s] [Epoch 00] it=630, time=7.036, generator: 0.6856, generator_static: 0.6863, discriminator: 1.3040, regularizer: 0.0382, pose_estimator: 0.1494
[(levelname)s] [Epoch 00] it=640, time=7.058, generator: 0.6489, generator_static: 0.6528, discriminator: 1.3093, regularizer: 0.0383, pose_estimator: 0.1492
[(levelname)s] [Epoch 00] it=650, time=7.125, generator: 0.6912, generator_static: 0.6963, discriminator: 1.3221, regularizer: 0.0345, pose_estimator: 0.1501
[(levelname)s] [Epoch 00] it=660, time=7.350, generator: 0.6949, generator_static: 0.6940, discriminator: 1.2896, regularizer: 0.0318, pose_estimator: 0.1477
[(levelname)s] [Epoch 00] it=670, time=7.161, generator: 0.7308, generator_static: 0.6554, discriminator: 1.3080, regularizer: 0.0389, pose_estimator: 0.1470
[(levelname)s] [Epoch 00] it=680, time=7.137, generator: 0.7321, generator_static: 0.7350, discriminator: 1.3051, regularizer: 0.0389, pose_estimator: 0.1463
[(levelname)s] [Epoch 00] it=690, time=7.165, generator: 0.8749, generator_static: 0.7307, discriminator: 1.3983, regularizer: 0.0341, pose_estimator: 0.1439
[(levelname)s] [Epoch 00] it=700, time=7.128, generator: 0.6712, generator_static: 0.6695, discriminator: 1.3146, regularizer: 0.0299, pose_estimator: 0.1426
[(levelname)s] [Epoch 00] it=710, time=7.076, generator: 0.7115, generator_static: 0.7134, discriminator: 1.2972, regularizer: 0.0337, pose_estimator: 0.1440
[(levelname)s] [Epoch 00] it=720, time=7.140, generator: 0.7452, generator_static: 0.6776, discriminator: 1.3116, regularizer: 0.0328, pose_estimator: 0.1407
[(levelname)s] [Epoch 00] it=730, time=7.108, generator: 0.6796, generator_static: 0.6513, discriminator: 1.3225, regularizer: 0.0338, pose_estimator: 0.1390
[(levelname)s] [Epoch 00] it=740, time=7.186, generator: 0.8036, generator_static: 0.7136, discriminator: 1.3423, regularizer: 0.0318, pose_estimator: 0.1405
[(levelname)s] [Epoch 00] it=750, time=7.139, generator: 0.7087, generator_static: 0.6819, discriminator: 1.3152, regularizer: 0.0284, pose_estimator: 0.1389
[(levelname)s] [Epoch 00] it=760, time=7.042, generator: 0.7536, generator_static: 0.7238, discriminator: 1.2945, regularizer: 0.0324, pose_estimator: 0.1342
[(levelname)s] [Epoch 00] it=770, time=7.136, generator: 0.7227, generator_static: 0.6940, discriminator: 1.3078, regularizer: 0.0308, pose_estimator: 0.1361
[(levelname)s] [Epoch 00] it=780, time=7.139, generator: 0.6902, generator_static: 0.6581, discriminator: 1.3102, regularizer: 0.0322, pose_estimator: 0.1390
[(levelname)s] [Epoch 00] it=790, time=7.143, generator: 0.7772, generator_static: 0.7288, discriminator: 1.3327, regularizer: 0.0361, pose_estimator: 0.1358
[(levelname)s] [Epoch 00] it=800, time=7.150, generator: 0.7346, generator_static: 0.7126, discriminator: 1.3003, regularizer: 0.0326, pose_estimator: 0.1340
[(levelname)s] [Epoch 00] it=810, time=7.125, generator: 0.6753, generator_static: 0.6412, discriminator: 1.3182, regularizer: 0.0322, pose_estimator: 0.1370
[(levelname)s] [Epoch 00] it=820, time=7.079, generator: 0.7871, generator_static: 0.7639, discriminator: 1.3353, regularizer: 0.0341, pose_estimator: 0.1339
[(levelname)s] [Epoch 00] it=830, time=7.097, generator: 0.6794, generator_static: 0.6935, discriminator: 1.3223, regularizer: 0.0306, pose_estimator: 0.1378
[(levelname)s] [Epoch 00] it=840, time=7.141, generator: 0.7099, generator_static: 0.6902, discriminator: 1.3094, regularizer: 0.0310, pose_estimator: 0.1280
[(levelname)s] [Epoch 00] it=850, time=7.101, generator: 0.6674, generator_static: 0.6603, discriminator: 1.3097, regularizer: 0.0341, pose_estimator: 0.1316
[(levelname)s] [Epoch 00] it=860, time=7.112, generator: 0.7318, generator_static: 0.7019, discriminator: 1.3066, regularizer: 0.0340, pose_estimator: 0.1258
[(levelname)s] [Epoch 00] it=870, time=7.098, generator: 0.8501, generator_static: 0.8173, discriminator: 1.3393, regularizer: 0.0367, pose_estimator: 0.1281
[(levelname)s] [Epoch 00] it=880, time=7.201, generator: 0.7570, generator_static: 0.7292, discriminator: 1.3029, regularizer: 0.0348, pose_estimator: 0.1231
[(levelname)s] [Epoch 00] it=890, time=7.126, generator: 0.6527, generator_static: 0.6420, discriminator: 1.2914, regularizer: 0.0366, pose_estimator: 0.1226
[(levelname)s] [Epoch 00] it=900, time=7.062, generator: 0.6952, generator_static: 0.6928, discriminator: 1.3007, regularizer: 0.0355, pose_estimator: 0.1265
[(levelname)s] [Epoch 00] it=910, time=7.100, generator: 0.9141, generator_static: 0.8250, discriminator: 1.3448, regularizer: 0.0297, pose_estimator: 0.1224
