nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=450, time=4.766, generator: 0.7355, discriminator: 1.1098, regularizer: 0.1002, pose_estimator: 0.0341
[(levelname)s] [Epoch 01] it=460, time=4.737, generator: 0.6982, discriminator: 1.1485, regularizer: 0.0809, pose_estimator: 0.0340
[(levelname)s] [Epoch 01] it=470, time=4.890, generator: 0.6842, discriminator: 1.1765, regularizer: 0.0875, pose_estimator: 0.0352
[(levelname)s] [Epoch 01] it=480, time=4.805, generator: 0.7901, discriminator: 1.1843, regularizer: 0.0860, pose_estimator: 0.0336
[(levelname)s] [Epoch 01] it=490, time=4.806, generator: 0.7452, discriminator: 1.1360, regularizer: 0.0903, pose_estimator: 0.0333
[(levelname)s] [Epoch 01] it=500, time=4.786, generator: 0.6867, discriminator: 1.1700, regularizer: 0.0911, pose_estimator: 0.0322
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=510, time=4.902, generator: 0.7446, discriminator: 1.1690, regularizer: 0.0815, pose_estimator: 0.0320
[(levelname)s] [Epoch 01] it=520, time=4.736, generator: 0.8009, discriminator: 1.1389, regularizer: 0.0916, pose_estimator: 0.0334
[(levelname)s] [Epoch 01] it=530, time=4.727, generator: 0.7255, discriminator: 1.1555, regularizer: 0.0864, pose_estimator: 0.0318
[(levelname)s] [Epoch 01] it=540, time=4.745, generator: 0.6697, discriminator: 1.1424, regularizer: 0.0804, pose_estimator: 0.0315
[(levelname)s] [Epoch 01] it=550, time=4.815, generator: 0.6723, discriminator: 1.1823, regularizer: 0.0871, pose_estimator: 0.0311
[(levelname)s] [Epoch 01] it=560, time=4.812, generator: 0.7651, discriminator: 1.1435, regularizer: 0.0868, pose_estimator: 0.0310
[(levelname)s] [Epoch 01] it=570, time=4.764, generator: 0.7213, discriminator: 1.1450, regularizer: 0.0765, pose_estimator: 0.0313
[(levelname)s] [Epoch 01] it=580, time=4.755, generator: 0.6956, discriminator: 1.1647, regularizer: 0.0867, pose_estimator: 0.0305
[(levelname)s] [Epoch 01] it=590, time=4.706, generator: 0.7090, discriminator: 1.1825, regularizer: 0.0756, pose_estimator: 0.0298
[(levelname)s] [Epoch 01] it=600, time=4.699, generator: 0.7449, discriminator: 1.1867, regularizer: 0.0778, pose_estimator: 0.0293
[(levelname)s] [Epoch 01] it=610, time=4.730, generator: 0.7895, discriminator: 1.1711, regularizer: 0.0823, pose_estimator: 0.0290
[(levelname)s] [Epoch 01] it=620, time=4.727, generator: 0.6202, discriminator: 1.1887, regularizer: 0.0794, pose_estimator: 0.0287
[(levelname)s] [Epoch 01] it=630, time=4.709, generator: 0.6785, discriminator: 1.1730, regularizer: 0.0799, pose_estimator: 0.0297
[(levelname)s] [Epoch 01] it=640, time=4.755, generator: 0.7054, discriminator: 1.1839, regularizer: 0.0766, pose_estimator: 0.0300
[(levelname)s] [Epoch 01] it=650, time=4.742, generator: 0.7213, discriminator: 1.1731, regularizer: 0.0762, pose_estimator: 0.0284
[(levelname)s] [Epoch 01] it=660, time=4.759, generator: 0.6371, discriminator: 1.1584, regularizer: 0.0832, pose_estimator: 0.0281
[(levelname)s] [Epoch 01] it=670, time=4.760, generator: 0.7675, discriminator: 1.1794, regularizer: 0.0806, pose_estimator: 0.0277
[(levelname)s] [Epoch 01] it=680, time=4.757, generator: 0.6816, discriminator: 1.1496, regularizer: 0.0799, pose_estimator: 0.0288
[(levelname)s] [Epoch 01] it=690, time=4.752, generator: 0.6913, discriminator: 1.1969, regularizer: 0.0767, pose_estimator: 0.0281
[(levelname)s] [Epoch 01] it=700, time=4.751, generator: 0.6342, discriminator: 1.1984, regularizer: 0.0727, pose_estimator: 0.0272
[(levelname)s] [Epoch 01] it=710, time=4.779, generator: 0.7421, discriminator: 1.1811, regularizer: 0.0848, pose_estimator: 0.0275
[(levelname)s] [Epoch 01] it=720, time=4.736, generator: 0.7199, discriminator: 1.2046, regularizer: 0.0670, pose_estimator: 0.0282
[(levelname)s] [Epoch 01] it=730, time=4.744, generator: 0.7509, discriminator: 1.1822, regularizer: 0.0745, pose_estimator: 0.0284
[(levelname)s] [Epoch 01] it=740, time=4.730, generator: 0.6906, discriminator: 1.1896, regularizer: 0.0675, pose_estimator: 0.0277
[(levelname)s] [Epoch 01] it=750, time=4.737, generator: 0.6867, discriminator: 1.1994, regularizer: 0.0703, pose_estimator: 0.0266
[(levelname)s] [Epoch 01] it=760, time=4.702, generator: 0.6668, discriminator: 1.1725, regularizer: 0.0752, pose_estimator: 0.0270
[(levelname)s] [Epoch 01] it=770, time=4.723, generator: 0.6523, discriminator: 1.1815, regularizer: 0.0778, pose_estimator: 0.0270
[(levelname)s] [Epoch 01] it=780, time=4.733, generator: 0.7068, discriminator: 1.1774, regularizer: 0.0632, pose_estimator: 0.0268
[(levelname)s] [Epoch 01] it=790, time=4.736, generator: 0.7278, discriminator: 1.2131, regularizer: 0.0756, pose_estimator: 0.0263
[(levelname)s] [Epoch 01] it=800, time=4.751, generator: 0.7318, discriminator: 1.1940, regularizer: 0.0794, pose_estimator: 0.0264
[(levelname)s] [Epoch 01] it=810, time=4.735, generator: 0.6329, discriminator: 1.1692, regularizer: 0.0836, pose_estimator: 0.0266
[(levelname)s] [Epoch 01] it=820, time=4.729, generator: 0.7041, discriminator: 1.1696, regularizer: 0.0871, pose_estimator: 0.0262
[(levelname)s] [Epoch 01] it=830, time=4.725, generator: 0.7232, discriminator: 1.1634, regularizer: 0.0813, pose_estimator: 0.0263
[(levelname)s] [Epoch 01] it=840, time=4.701, generator: 0.7596, discriminator: 1.2010, regularizer: 0.0823, pose_estimator: 0.0261
[(levelname)s] [Epoch 01] it=850, time=4.703, generator: 0.6880, discriminator: 1.2200, regularizer: 0.0742, pose_estimator: 0.0258
[(levelname)s] [Epoch 01] it=860, time=4.680, generator: 0.7292, discriminator: 1.1883, regularizer: 0.0837, pose_estimator: 0.0256
